timestamp,start_timestep,end_timestep,duration,block_index,block_x,block_y
2025-08-08T14:29:15.167466,1,6,6,2,0,1
2025-08-08T14:29:16.712881,7,21,15,3,1,1
2025-08-08T14:29:21.870553,22,71,50,5,1,2
2025-08-08T14:29:24.457834,72,96,25,4,0,2
2025-08-08T14:29:28.591846,97,136,40,2,0,1
2025-08-08T14:29:29.319787,137,143,7,0,0,0
2025-08-08T14:29:32.734391,144,176,33,1,1,0
2025-08-08T14:29:32.837906,177,177,1,-1,-1,-1
2025-08-08T14:29:36.043311,178,208,31,1,1,0
2025-08-08T14:29:36.972111,209,217,9,0,0,0
2025-08-08T14:29:41.107872,218,257,40,2,0,1
2025-08-08T14:29:43.484492,258,280,23,4,0,2
2025-08-08T14:29:48.871685,281,332,52,5,1,2
2025-08-08T14:29:50.215288,333,345,13,3,1,1
2025-08-08T14:29:53.011469,346,372,27,2,0,1
2025-08-08T14:29:57.148069,373,412,40,0,0,0
2025-08-08T14:29:57.250993,413,413,1,-1,-1,-1
2025-08-08T14:29:57.663023,414,417,4,0,0,0
2025-08-08T14:30:01.386700,418,453,36,1,1,0
2025-08-08T14:30:04.379566,454,482,29,3,1,1
2025-08-08T14:30:05.515702,483,493,11,2,0,1
2025-08-08T14:30:08.099264,494,518,25,4,0,2
2025-08-08T14:30:14.876924,1,6,6,2,0,1
2025-08-08T14:30:16.417579,7,21,15,3,1,1
2025-08-08T14:30:21.588228,22,71,50,5,1,2
2025-08-08T14:30:24.174983,72,96,25,4,0,2
2025-08-08T14:30:28.313534,97,136,40,2,0,1
2025-08-08T14:30:29.037398,137,143,7,0,0,0
2025-08-08T14:30:32.031263,144,172,29,1,1,0
